date,mission,class,vol_init,user_label_id,B1,B2,B3,B4,B5,B7,SR_ATMOS_OPACITY,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,SR_CLOUD_QA,ST_ATRAN,ST_B6,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,QA_PIXEL,QA_RADSAT,system:index,system:time_start,.geo,CLOUD_COVER,IMAGE_QUALITY,DATA_SOURCE_AIR_TEMPERATURE,DATA_SOURCE_ELEVATION,DATA_SOURCE_OZONE,DATA_SOURCE_PRESSURE,DATA_SOURCE_REANALYSIS,DATA_SOURCE_WATER_VAPOR,SENSOR_MODE_SLC,SR_CLOUD_QA_binary,QA_PIXEL_binary,QA_RADSAT_binary
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,11,0.043,0.086,0.132,0.072,0.007,0.006,0.01115,0.043,0.086,0.132,0.072,0.007,0.006,32,8059,288.60048185,1896.5,706,9876,103,179.5,7720.5,1417,5504,0,00000000000000000083,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.72402972465757,46.71683791157751]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,12,0.038,0.073,0.086,0.028,0.004,0.008,0.0077,0.038,0.073,0.086,0.028,0.004,0.008,32,8029,286.08311012,2918,716,9876,210,187,7479,1442,5504,0,00000000000000000084,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.23112961241176,46.861758695814515]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,13,0.045,0.078,0.093,0.033,0.007,0.002,0.0077,0.045,0.078,0.093,0.033,0.007,0.002,32,8028,285.69345583999996,2910,716,9876,188,179,7441,1443,5504,0,00000000000000000085,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.22947528592094,46.86282888006733]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,14,0.043,0.078,0.09,0.033,0.007,0.002,0.0078,0.043,0.078,0.09,0.033,0.007,0.002,32,8027,285.30038354,2904,717,9876,56,147,7404,1444,5504,0,00000000000000000086,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.22820890122176,46.863604763650635]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,15,0.043,0.076,0.086,0.024,0.007,-0.001,0.0078,0.043,0.076,0.086,0.024,0.007,-0.001,32,8028,285.69345583999996,2899,716,9876,77,150,7441,1443,5504,0,00000000000000000087,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.22737504932476,46.86413539667599]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,16,0.043,0.073,0.084,0.028,0.007,0.005,0.0078,0.043,0.073,0.084,0.028,0.007,0.005,32,8026,286.08311012,2935,717,9876,82,150,7479,1444,5504,0,00000000000000000088,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.23423760584602,46.85940874955934]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,17,0.054,0.1,0.117,0.028,0.004,0.002,0.0077,0.054,0.1,0.117,0.028,0.004,0.002,32,7990,290.68718306,2467,725,9880,0,144,7925,1468,5504,0,00000000000000000089,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.44881600539311,46.89850614759595]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,18,0.052,0.089,0.106,0.032,0.01,0.002,0.0077,0.052,0.089,0.106,0.032,0.01,0.002,32,7993,290.31120086,2462,724,9880,0,144,7888,1466,5504,0,0000000000000000008a,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.44954283886483,46.898889630286554]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,19,0.05,0.093,0.106,0.028,0.004,0.008,0.0077,0.05,0.093,0.106,0.028,0.004,0.008,32,7990,290.31120086,2470,725,9880,0,144,7888,1468,5504,0,0000000000000000008b,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.44842806360147,46.8982430606338]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,20,0.05,0.091,0.108,0.037,0.012,0.011,0.0078,0.05,0.091,0.108,0.037,0.012,0.011,32,7993,290.68718306,2456,724,9880,0,145,7925,1466,5504,0,0000000000000000008c,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.45040344536814,46.8992106855624]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,lightNearShoreSediment,AMP,21,0.05,0.091,0.096,0.028,0.007,0.005,0.0077,0.05,0.091,0.096,0.028,0.007,0.005,32,7990,289.93521866000003,2473,725,9880,0,144,7851,1468,5504,0,0000000000000000008d,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.4479553988898,46.897864037044265]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,darkNearShoreSediment,AMP,22,0.046,0.071,0.078,0.032,0.012,0.008,0.0078,0.046,0.071,0.078,0.032,0.012,0.008,32,7993,290.31120086,2404,724,9880,0,147,7888,1466,5504,0,0000000000000000008e,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.45718573807044,46.89774364131582]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,darkNearShoreSediment,AMP,23,0.05,0.073,0.088,0.041,0.01,0.008,0.0078,0.05,0.073,0.088,0.041,0.01,0.008,32,7992,291.06316526,2428,725,9880,0,146,7962,1467,5504,0,0000000000000000008f,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.45396626710985,46.898448179282255]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,darkNearShoreSediment,AMP,24,0.038,0.068,0.082,0.037,0.007,0.013,0.0078,0.038,0.068,0.082,0.037,0.007,0.013,32,7996,290.68718306,2438,723,9880,0,145,7925,1463,5504,0,00000000000000000090,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.45276230982542,46.89871126624442]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,darkNearShoreSediment,AMP,25,0.035,0.066,0.082,0.103,0.05,0.022,0.0078,0.035,0.066,0.082,0.103,0.05,0.022,1,7998,291.43572944,2456,723,9880,0,145,7999,1462,5440,0,00000000000000000091,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.45031872244812,46.898947598600245]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,000001,01010101000000,0
2002-09-03,LANDSAT_7,darkNearShoreSediment,AMP,26,0.046,0.071,0.078,0.032,0.01,0.008,0.0079,0.046,0.071,0.078,0.032,0.01,0.008,32,7992,290.31120086,2385,725,9880,0,147,7888,1467,5504,0,00000000000000000092,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.45962932544772,46.896718048073524]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,27,0.02,0.031,0.023,0.005,-0.001,0.008,0.0097,0.02,0.031,0.023,0.005,-0.001,0.008,32,8050,286.27622825000003,2416,709,9880,0,155,7497.5,1424,5504,0,00000000000000000093,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.59330671817476,46.76988783681036]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,28,0.02,0.031,0.019,0.01,0.001,0.005,0.0102,0.02,0.031,0.019,0.01,0.001,0.005,32,8051,285.10897442,2255.5,709,9880,0,157.5,7385.5,1424,5504,0,00000000000000000094,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.62798068796634,46.76565614991065]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,29,0.02,0.026,0.015,0.005,0.001,0.001,0.01025,0.02,0.026,0.015,0.005,0.001,0.001,32,8052,284.91414728,2083,708,9880,0,160.5,7367,1422,5504,0,00000000000000000095,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.67020837494248,46.75601111433204]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,30,0.017,0.028,0.01,0.005,0.001,0.002,0.01065,0.017,0.028,0.01,0.005,0.001,0.002,32,8055,284.91414728,1941.5,707,9880,0,166,7367,1420,5504,0,00000000000000000096,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.7199942382042,46.746366078753425]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,31,0.021,0.03,0.01,0.009,0.007,0.002,0.01095,0.021,0.03,0.01,0.009,0.007,0.002,32,8057,284.13142070000004,1883.5,707,9880,0,168.5,7293,1418,5504,0,00000000000000000097,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.76084852205587,46.74307526217599]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,32,0.023,0.03,0.013,0.009,0.003,0.008,0.0111,0.023,0.03,0.013,0.009,0.003,0.008,32,8058,285.11410145,1868,706,9880,0,169,7385.5,1418,5504,0,00000000000000000098,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.78934217778739,46.73954365414166]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,33,0.024,0.037,0.029,0.007,0.004,0.005,0.01055,0.024,0.037,0.029,0.007,0.004,0.005,32,8047,285.10384739,2493,710,9880,0,157,7385.5,1426,5504,0,00000000000000000099,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.48714889939536,46.784585033882514]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,34,0.029,0.044,0.036,0.01,0.001,0.005,0.0105,0.029,0.044,0.036,0.01,0.001,0.005,32,8046,284.51423894,2493,710,9880,0,157.5,7330,1427,5504,0,0000000000000000009a,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.4589941353439,46.79257574297029]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,35,0.026,0.047,0.031,0.01,0.007,0.002,0.01045,0.026,0.047,0.031,0.01,0.007,0.002,32,8045,285.29696551999996,2524.5,711,9880,0,158,7404,1428,5504,0,0000000000000000009b,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.42260341164673,46.79915737612518]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,36,0.026,0.041,0.027,0.011,0.004,0.005,0.00745,0.026,0.041,0.027,0.011,0.004,0.005,32,8041,284.90389322,2668,712,9880,0,153.5,7367,1432,5504,0,0000000000000000009c,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.34775740046464,46.82265683867684]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,37,0.025,0.036,0.018,0.006,0.004,0.002,0.0084,0.025,0.036,0.018,0.006,0.004,0.002,32,8037,283.71442226,3271,713,9880,0,143,7255,1435,5504,0,0000000000000000009d,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.3031262580207,46.84661112953595]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,38,0.028,0.036,0.01,0.01,0.002,0.002,0.0082,0.028,0.036,0.01,0.01,0.002,0.002,32,8027,283.69733216,3006,717,9880,0,143,7255,1444,5504,0,0000000000000000009e,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.2392674718343,46.87102916690462]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,39,0.029,0.038,0.016,0.01,0.007,0.008,0.0083,0.029,0.038,0.016,0.01,0.007,0.008,32,8024,283.29742382,2746,718,9880,0,143,7218,1446,5504,0,0000000000000000009f,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.18708261220583,46.89683844380197]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,40,0.029,0.036,0.016,0.006,0.004,0.005,0.0084,0.029,0.036,0.016,0.006,0.004,0.005,32,8025,283.29742382,2528,717,9880,0,143,7218,1445,5504,0,000000000000000000a0,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.15481209788204,46.896838443801975]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,41,0.029,0.031,0.018,0.01,0.007,0.005,0.0084,0.029,0.031,0.018,0.01,0.007,0.005,32,8026,282.49760714,2301,717,9880,0,151,7144,1444,5504,0,000000000000000000a1,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.13009084164173,46.88510654893035]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,42,0.026,0.049,0.036,0.005,0.004,0.002,0.01025,0.026,0.049,0.036,0.005,0.004,0.002,32,8049,285.30038354,2508,709,9880,0,156.5,7404,1425,5504,0,000000000000000000a2,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.50706324470005,46.77612166008307]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,43,0.042,0.064,0.032,0.01,0.01,0.005,0.0077,0.042,0.064,0.032,0.01,0.01,0.005,32,7990,288.41419976,2569,725,9880,0,143,7702,1468,5504,0,000000000000000000a3,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.43525587908958,46.89803794198534]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,44,0.048,0.066,0.043,0.015,0.01,0.016,0.0077,0.048,0.066,0.043,0.015,0.01,0.016,32,7990,288.41419976,2543,725,9880,0,143,7702,1468,5504,0,000000000000000000a4,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.43851548195966,46.896749261780904]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,45,0.038,0.05,0.024,0.006,0.007,0.008,0.0077,0.038,0.05,0.024,0.006,0.007,0.008,32,7991,288.41419976,2524,725,9880,0,143,7702,1468,5504,0,000000000000000000a5,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.44108838326748,46.895456122475395]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,46,0.04,0.054,0.03,0.006,0.01,0.005,0.0077,0.04,0.054,0.03,0.006,0.01,0.005,32,7991,285.70029188,2407,725,9880,0,146,7441,1467,5504,0,000000000000000000a6,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.45585246685545,46.88208327841611]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,47,0.042,0.052,0.026,0.01,0.01,0.005,0.0077,0.042,0.052,0.026,0.01,0.01,0.005,32,7991,285.70029188,2464,725,9880,0,144,7441,1467,5504,0,000000000000000000a7,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.44847265461199,46.88091053483905]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,offShoreSediment,AMP,48,0.035,0.041,0.018,0.01,0.004,0.005,0.0077,0.035,0.041,0.018,0.01,0.004,0.005,32,7991,285.70029188,2502,725,9880,0,143,7441,1467,5504,0,000000000000000000a8,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-90.44366574367638,46.87821277870172]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,100000,01010110000000,0
2002-09-03,LANDSAT_7,shorelineContamination,AMP,49,0.068,0.106,0.144,0.204,0.227,0.169,0.0085,0.068,0.106,0.144,0.204,0.227,0.169,NA,8032,293.34640262,2220,715,9741,79,163,8111,1439,5440,0,000000000000000000a9,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.1354863539164,46.859439963266716]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,NA,01010101000000,0
2002-09-03,LANDSAT_7,shorelineContamination,AMP,50,0.072,0.115,0.152,0.244,0.275,0.207,0.0086,0.072,0.115,0.152,0.244,0.275,0.207,NA,8034,294.05393276,2199,714,9746,82,164,8185,1438,5440,0,000000000000000000aa,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.13312748945913,46.85829843339704]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,NA,01010101000000,0
2002-09-03,LANDSAT_7,shorelineContamination,AMP,51,0.082,0.142,0.185,0.248,0.251,0.213,0.0086,0.082,0.142,0.185,0.248,0.251,0.213,NA,8033,295.16478926,2182,715,9744,70,163,8297,1439,5440,0,000000000000000000ab,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.13115210769246,46.85774104576536]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,NA,01010101000000,0
2002-09-03,LANDSAT_7,shorelineContamination,AMP,52,0.08,0.133,0.166,0.191,0.235,0.216,0.0087,0.08,0.133,0.166,0.191,0.235,0.216,NA,8034,292.50898772,2151,714,9696,79,165,7999,1438,5440,0,000000000000000000ac,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.12741984011072,46.85691611207047]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,NA,01010101000000,0
2002-09-03,LANDSAT_7,shorelineContamination,AMP,53,0.082,0.14,0.189,0.222,0.299,0.277,0.0087,0.082,0.14,0.189,0.222,0.299,0.277,NA,8033,293.9753183,2142,715,9699,79,166,8148,1439,5440,0,000000000000000000ad,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.12604643698626,46.856710993422006]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,NA,01010101000000,0
2002-09-03,LANDSAT_7,other,AMP,54,0.033,0.047,0.099,0.112,0.217,0.122,0.01,0.033,0.047,0.099,0.112,0.217,0.122,NA,8023,286.45225628000003,1760,718,9880,0,173,7516,1446,5440,0,000000000000000000ae,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.3800234556874,46.97484595763095]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,NA,01010101000000,0
2002-09-03,LANDSAT_7,other,AMP,55,0.03,0.035,0.063,0.072,0.104,0.069,0.01,0.03,0.035,0.063,0.072,0.104,0.069,NA,8023,286.83849254,1764,718,9880,0,173,7553,1446,5504,0,000000000000000000af,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.37916730828513,46.97496189425833]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,NA,01010110000000,0
2002-09-03,LANDSAT_7,other,AMP,56,0.033,0.038,0.063,0.068,0.115,0.075,0.01,0.033,0.038,0.063,0.068,0.115,0.075,NA,8023,287.2247288,1765,718,9880,0,173,7590,1446,5504,0,000000000000000000b0,2002-09-03T00:00:00Z,"{""type"":""Point"",""coordinates"":[-91.3783067017818,46.97531416324157]}",,,NCEP,GLS2000,TOMS,NCEP,GEOS-5 FP-IT,NCEP,ON,NA,01010110000000,0
