system:index,AOT,B11,B12,B5,B6,B7,B8,Blue,Green,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,Red,SCL,SR_B1,SR_B11,SR_B12,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_B8,SR_B8A,SR_B9,TCI_B,TCI_G,TCI_R,WVP,cirrus,class,date,mission,opaque_cloud,system:time_start,vol_init,.geo
00000000000000000330,90.5,109.5,97.5,0.0177,0.01485,0.01475,0.01515,0.0357,0.0277,0,0,0,0,0,0.0178,6,0.03575,0.01095,0.00975,0.03569999999999999,0.0277,0.0178,0.0177,0.01485,0.01475,0.01515,0.0137,0.01185,37,29,19,2175,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.13061901332027,46.842294719716215]}"
00000000000000000331,88,79,73,0.0136,0.0123,0.0124,0.0104,0.0312,0.0238,0,0,0,0,0,0.0137,6,0.0286,0.0079,0.0073,0.0312,0.0238,0.0137,0.0136,0.0123,0.0124,0.0104,0.0108,0.007,33,25,15,2326,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.85796974075414,47.23188637875578]}"
00000000000000000332,88,81,77,0.0132,0.0125,0.0123,0.0118,0.032,0.0254,0,0,0,0,0,0.0155,6,0.03,0.0081,0.0077,0.032,0.0254,0.0155,0.0132,0.0125,0.0123,0.0118,0.0117,0.0066,33,26,16,2326,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.79376760378663,47.137152776875325]}"
00000000000000000333,88,104,97,0.0152,0.0142,0.0147,0.0132,0.0337,0.0264,0,0,0,0,0,0.0174,6,0.032,0.0104,0.0097,0.0337,0.0264,0.0174,0.0152,0.0142,0.0147,0.0132,0.0141,0.0099,35,27,18,2326,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.5802212543371,47.2034373140348]}"
00000000000000000334,88,70,60,0.0122,0.0107,0.0114,0.0087,0.0301,0.024,0,0,0,0,0,0.0127,6,0.0284,0.007,0.006,0.0301,0.024,0.0127,0.0122,0.0107,0.0114,0.0087,0.0095,0.0085,31,25,14,2326,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.98533504414372,47.10070854396551]}"
00000000000000000335,88,92,73,0.0149,0.014,0.0138,0.0125,0.0319,0.0243,0,0,0,0,0,0.0152,6,0.0305,0.0092,0.0073,0.0319,0.0243,0.0152,0.0149,0.014,0.0138,0.0125,0.0122,0.0099,33,25,16,2326,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.68870672386639,47.10959107326398]}"
00000000000000000336,88,142,114,0.0197,0.0195,0.0212,0.0201,0.0461,0.0334,0,0,0,0,0,0.0226,6,0.0376,0.0142,0.0114,0.0461,0.0334,0.0226,0.0197,0.0195,0.0212,0.0201,0.0181,0.014,47,34,23,2244,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.12974948861485,47.07948322295112]}"
00000000000000000337,88,140,132,0.0232,0.0194,0.0175,0.0175,0.0365,0.0314,0,0,0,0,0,0.0244,6,0.036,0.014,0.0132,0.0365,0.0314,0.0244,0.0232,0.0194,0.0175,0.0175,0.0175,0.0164,38,33,25,2244,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.13489975033157,47.02685245321729]}"
00000000000000000338,88,119,113,0.0191,0.0171,0.0156,0.016,0.0378,0.028,0,0,0,0,0,0.0197,6,0.0374,0.0119,0.0113,0.0378,0.028,0.0197,0.0191,0.0171,0.0156,0.016,0.0151,0.0136,39,29,20,2244,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.19978412976027,47.01491543969722]}"
00000000000000000339,88,119,112,0.0182,0.0172,0.0171,0.0165,0.0374,0.0284,0,0,0,0,0,0.0175,6,0.0371,0.0119,0.0112,0.0374,0.0284,0.0175,0.0182,0.0172,0.0171,0.0165,0.0143,0.0145,38,29,18,2244,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.12974948861485,47.054226874584394]}"
0000000000000000033a,88,109,99,0.0176,0.0159,0.0145,0.0138,0.0338,0.026,0,0,0,0,0,0.0167,6,0.035,0.0109,0.0099,0.0338,0.026,0.0167,0.0176,0.0159,0.0145,0.0138,0.0139,0.0131,36,27,18,2244,0,openWater,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.10880509096681,47.01421090173077]}"
0000000000000000033b,105,52,33,0.1303,0.0585,0.0588,0.0456,0.0704,0.1045,0,0,0,0,0,0.1399,6,0.0584,0.0052,0.0033,0.0704,0.1045,0.1399,0.1303,0.0585,0.0588,0.0456,0.0335,0.0124,72,107,143,2074,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.99094705461579,46.69694140267705]}"
0000000000000000033c,105,125,112,0.1627,0.08940000000000001,0.08560000000000001,0.0728,0.07680000000000001,0.1124,0,0,0,0,0,0.1663,6,0.0616,0.0125,0.0112,0.07680000000000001,0.1124,0.1663,0.1627,0.08940000000000001,0.08560000000000001,0.0728,0.0543,0.0198,79,115,169,2074,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.93816021634508,46.681401435505784]}"
0000000000000000033d,105,66,59,0.1597,0.0873,0.08460000000000001,0.0687,0.07150000000000001,0.109,0,0,0,0,0,0.1632,6,0.0566,0.0066,0.0059,0.07150000000000001,0.109,0.1632,0.1597,0.0873,0.08460000000000001,0.0687,0.05,0.0169,74,111,166,2074,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.89730593249344,46.688406683260745]}"
0000000000000000033e,105,51,46,0.1817,0.1153,0.1155,0.0935,0.0703,0.1106,0,0,0,0,0,0.1768,6,0.0568,0.0051,0.0046,0.0703,0.1106,0.1768,0.1817,0.1153,0.1155,0.0935,0.0728,0.0186,73,113,181,2074,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.88245712598544,46.69076108861697]}"
0000000000000000033f,105,65,57,0.1847,0.1282,0.12860000000000002,0.1075,0.0727,0.1079,0,0,0,0,0,0.1774,6,0.0574,0.0065,0.0057,0.0727,0.1079,0.1774,0.1847,0.1282,0.12860000000000002,0.1075,0.0867,0.023,74,111,181,2074,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.8638314608852,46.69264728836258]}"
00000000000000000340,93,92,55,0.1401,0.0661,0.06420000000000001,0.0528,0.0697,0.1054,0,0,0,0,0,0.1505,6,0.0551,0.0092,0.0055,0.0697,0.1054,0.1505,0.1401,0.0661,0.06420000000000001,0.0528,0.0389,0.0144,71,108,153,2179,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.51724337240506,46.756916311845885]}"
00000000000000000341,93,90,73,0.1405,0.0649,0.0613,0.0496,0.07010000000000001,0.1089,0,0,0,0,0,0.1532,6,0.0583,0.009,0.0073,0.07010000000000001,0.1089,0.1532,0.1405,0.0649,0.0613,0.0496,0.0351,0.0153,72,111,156,2179,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.51351110482335,46.757504913184945]}"
00000000000000000342,93,87,67,0.0609,0.0248,0.0264,0.0217,0.053900000000000003,0.0779,0,0,0,0,0,0.0741,6,0.0457,0.0087,0.0067,0.053900000000000003,0.0779,0.0741,0.0609,0.0248,0.0264,0.0217,0.0156,0.0415,55,80,76,2179,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.45463759361469,46.77299583024462]}"
00000000000000000343,93,78,54,0.13490000000000002,0.06330000000000001,0.063,0.0492,0.06770000000000001,0.1032,0,0,0,0,0,0.14830000000000002,6,0.0578,0.0078,0.0054,0.06770000000000001,0.1032,0.14830000000000002,0.13490000000000002,0.06330000000000001,0.063,0.0492,0.0355,0.0168,69,105,151,2179,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.51540176366998,46.75716156240384]}"
00000000000000000344,93,86,58,0.0887,0.0346,0.0347,0.0282,0.0632,0.0916,0,0,0,0,0,0.1045,6,0.0474,0.0086,0.0058,0.0632,0.0916,0.1045,0.0887,0.0346,0.0347,0.0282,0.0213,0.0247,64,94,106,2179,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.54649507531568,46.75561871343933]}"
00000000000000000345,93,184,145,0.13190000000000002,0.0649,0.0687,0.0536,0.076,0.105,0,0,0,0,0,0.1353,6,0.0641,0.0184,0.0145,0.076,0.105,0.1353,0.13190000000000002,0.0649,0.0687,0.0536,0.043,0.0512,78,107,138,2179,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.94382973153824,46.58833999652036]}"
00000000000000000346,93,163,143,0.1255,0.0623,0.06430000000000001,0.0504,0.07980000000000001,0.1031,0,0,0,0,0,0.1264,6,0.0826,0.0163,0.0143,0.07980000000000001,0.1031,0.1264,0.1255,0.0623,0.06430000000000001,0.0504,0.0424,0.0639,82,106,129,2179,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.93979424508488,46.59021281896281]}"
00000000000000000347,93,473,412,0.1526,0.0905,0.099,0.0578,0.092,0.1298,8,0,0,0,0,0.1666,6,0.0857,0.0473,0.0412,0.092,0.1298,0.1666,0.1526,0.0905,0.099,0.0578,0.0804,0.07590000000000001,94,132,170,2179,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.47457623217886,46.574869052237915]}"
00000000000000000348,93,155,121,0.123,0.0612,0.0634,0.0502,0.08070000000000001,0.1026,0,0,0,0,0,0.1246,6,0.07,0.0155,0.0121,0.08070000000000001,0.1026,0.1246,0.123,0.0612,0.0634,0.0502,0.0376,0.0221,83,105,128,2179,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.93904065700686,46.58999878211225]}"
00000000000000000349,93,57,31,0.0811,0.0314,0.0355,0.0294,0.0469,0.0627,0,0,0,0,0,0.07490000000000001,6,0.04,0.0057,0.0031,0.0469,0.0627,0.07490000000000001,0.0811,0.0314,0.0355,0.0294,0.0174,0.0141,48,65,77,2179,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.91070752891326,46.66171004525376]}"
0000000000000000034a,76,712,422,0.0962,0.0782,0.0863,0.07970000000000001,0.0433,0.0608,0,0,0,0,0,0.079,6,0.0305,0.0712,0.0422,0.0433,0.0608,0.079,0.0962,0.0782,0.0863,0.07970000000000001,0.0854,0.163,44,62,81,2326,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.83024305040382,46.93569950948274]}"
0000000000000000034b,76,56,52,0.07060000000000001,0.0266,0.0272,0.0241,0.0416,0.0613,0,0,0,0,0,0.07250000000000001,6,0.0337,0.0056,0.0052,0.0416,0.0613,0.07250000000000001,0.07060000000000001,0.0266,0.0272,0.0241,0.016,0.07,43,63,74,2326,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.82953405333632,46.935525604541674]}"
0000000000000000034c,84.5,135,96.5,0.0872,0.0446,0.0393,0.0426,0.05235000000000001,0.07495,0,0,0,0,0,0.09235,6,0.04265000000000001,0.0135,0.00965,0.05235000000000001,0.07495,0.09235,0.0872,0.0446,0.0393,0.0426,0.0317,0.0409,54,76.5,94,2252.5,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.93513448448402,46.933898032657154]}"
0000000000000000034d,84.5,112.5,82,0.06205000000000001,0.0203,0.01895,0.01975,0.05005,0.07075000000000001,0,0,0,0,0,0.07070000000000001,6,0.03254999999999999,0.01125,0.00819999999999999,0.05005,0.07075000000000001,0.07070000000000001,0.06205000000000001,0.0203,0.01895,0.01975,0.01825,0.0718,51.5,73,72.5,2252.5,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.91367283111379,46.9342681380446]}"
0000000000000000034e,76,171,103,0.079,0.029,0.0294,0.0227,0.0442,0.06670000000000001,0,0,0,0,0,0.07970000000000001,6,0.0353,0.0171,0.0103,0.0442,0.06670000000000001,0.07970000000000001,0.079,0.029,0.0294,0.0227,0.0142,0.0498,45,68,82,2326,0,lightNearShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.82728220730434,46.93423692433722]}"
0000000000000000034f,105,68,61,0.0268,0.0163,0.0166,0.0139,0.0574,0.0717,0,0,0,0,0,0.0352,6,0.0449,0.0068,0.0061,0.0574,0.0717,0.0352,0.0268,0.0163,0.0166,0.0139,0.0127,0.0103,58,73,36,2074,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.9307358130911,46.69721786694235]}"
00000000000000000350,105,54,49,0.0274,0.0136,0.0149,0.0117,0.0546,0.0722,0,0,0,0,0,0.0378,6,0.0419,0.0054,0.0049,0.0546,0.0722,0.0378,0.0274,0.0136,0.0149,0.0117,0.0097,0.0086,56,73,39,2074,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.86970855607365,46.69792686400985]}"
00000000000000000351,105,50,42,0.0212,0.0125,0.0144,0.0114,0.0517,0.06570000000000001,0,0,0,0,0,0.0294,6,0.0387,0.005,0.0042,0.0517,0.06570000000000001,0.0294,0.0212,0.0125,0.0144,0.0114,0.0106,0.0068,53,67,31,2074,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.80620649797152,46.70190884125058]}"
00000000000000000352,105,63,55,0.0409,0.0178,0.0187,0.0148,0.0614,0.0834,0,0,0,0,0,0.0538,6,0.0467,0.0063,0.0055,0.0614,0.0834,0.0538,0.0409,0.0178,0.0187,0.0148,0.0128,0.0093,63,86,55,2074,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.76140145058649,46.71456377004026]}"
00000000000000000353,105,44,32,0.0263,0.0139,0.0151,0.0117,0.0563,0.0723,0,0,0,0,0,0.0376,6,0.0413,0.0044,0.0032,0.0563,0.0723,0.0376,0.0263,0.0139,0.0151,0.0117,0.0118,0.0073,58,74,39,2074,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.70166287377349,46.736038800713665]}"
00000000000000000354,93,57,45,0.0239,0.0128,0.0129,0.0112,0.0555,0.06810000000000001,0,0,0,0,0,0.0319,6,0.0456,0.0057,0.0045,0.0555,0.06810000000000001,0.0319,0.0239,0.0128,0.0129,0.0112,0.0092,0.0056,57,70,33,2179,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.5077187325549,46.76512105778423]}"
00000000000000000355,93,54,39,0.0174,0.0123,0.0121,0.0104,0.0468,0.0535,0,0,0,0,0,0.0204,6,0.0398,0.0054,0.0039,0.0468,0.0535,0.0204,0.0174,0.0123,0.0121,0.0104,0.0114,0.0066,49,55,21,2179,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.49364135052917,46.77394115966794]}"
00000000000000000356,93,41,33,0.0137,0.0109,0.0114,0.0086,0.0429,0.0434,0,0,0,0,0,0.0168,6,0.0364,0.0041,0.0033,0.0429,0.0434,0.0168,0.0137,0.0109,0.0114,0.0086,0.0091,0.0076,44,44,17,2179,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.38309131721215,46.81671731607365]}"
00000000000000000357,90.5,56,48,0.01395,0.0093,0.0098,0.0083,0.03865,0.0426,0,0,0,0,0,0.0165,6,0.03045,0.0056,0.0048,0.03865,0.0426,0.0165,0.01395,0.0093,0.0098,0.0083,0.0084,0.00605,40,44,17,2252.5,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.23683726176017,46.86145547694288]}"
00000000000000000358,90.5,83.5,75.5,0.01605,0.0137,0.0153,0.01205,0.04335,0.04165,0,0,0,0,0,0.01845,6,0.03395000000000001,0.00835,0.00755,0.04335,0.04165,0.01845,0.01605,0.0137,0.0153,0.01205,0.01265,0.01275,44.5,43,19,2252.5,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-91.14448481984226,46.88539639049882]}"
00000000000000000359,93,120,106,0.0216,0.0185,0.019,0.0164,0.05,0.05,0,0,0,0,0,0.0236,6,0.0423,0.012,0.0106,0.05,0.05,0.0236,0.0216,0.0185,0.019,0.0164,0.0177,0.017,52,52,24,2179,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.61850263688095,46.632694674698996]}"
0000000000000000035a,93,132,122,0.0256,0.0195,0.0204,0.0189,0.0573,0.058,0,0,0,0,0,0.0278,6,0.0493,0.0132,0.0122,0.0573,0.058,0.0278,0.0256,0.0195,0.0204,0.0189,0.0192,0.017,58,59,29,2179,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.55078226918226,46.611594208514084]}"
0000000000000000035b,93,85,82,0.0236,0.0162,0.017,0.0149,0.0519,0.0583,0,0,0,0,0,0.0297,6,0.0444,0.0085,0.0082,0.0519,0.0583,0.0297,0.0236,0.0162,0.017,0.0149,0.0129,0.0082,53,59,31,2179,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.77496357464425,46.70563219063021]}"
0000000000000000035c,93,77,67,0.0218,0.0141,0.0151,0.0137,0.0522,0.0596,0,0,0,0,0,0.0267,6,0.0445,0.0077,0.0067,0.0522,0.0596,0.0267,0.0218,0.0141,0.0151,0.0137,0.0103,0.0073,54,61,28,2179,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.762259595743,46.717520154038695]}"
0000000000000000035d,93,132,105,0.0248,0.0229,0.0224,0.019,0.0513,0.0538,0,0,0,0,0,0.0274,6,0.045,0.0132,0.0105,0.0513,0.0538,0.0274,0.0248,0.0229,0.0224,0.019,0.0184,0.0132,53,55,29,2179,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.83432758696877,46.76381454117557]}"
0000000000000000035e,88,117,107,0.0189,0.0166,0.0166,0.0149,0.0474,0.045,0,0,0,0,0,0.0212,6,0.0381,0.0117,0.0107,0.0474,0.045,0.0212,0.0189,0.0166,0.0166,0.0149,0.016,0.0124,49,46,22,2326,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.9165355739901,47.0060953378135]}"
0000000000000000035f,82,73,65,0.0141,0.0098,0.0132,0.0095,0.043,0.042,0,0,0,0,0,0.0169,6,0.0343,0.0073,0.0065,0.043,0.042,0.0169,0.0141,0.0098,0.0132,0.0095,0.0105,0.0094,44,43,18,2326,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.9854911126806,46.936716184522936]}"
00000000000000000360,88,91,88,0.0171,0.0138,0.0153,0.0122,0.0464,0.0468,0,0,0,0,0,0.0206,6,0.0377,0.0091,0.0088,0.0464,0.0468,0.0206,0.0171,0.0138,0.0153,0.0122,0.0121,0.0109,48,48,21,2326,0,offShoreSediment,2021-08-29,SEN2,0,2021-08-29T00:00:00Z,ANK,"{""type"":""Point"",""coordinates"":[-90.91710633892494,46.997756818843555]}"
